state,missing_rate,MAE,MSE
Alabama,0.0,1.1806287144335583,2.795819209005361
Alabama,0.0,1.1806287144335583,2.795819209005361
Alabama,0.2,1.251738206398512,3.703177188170993
Alabama,0.2,1.3129213093085046,2.7558700918502717
Alabama,0.4,1.1089884626750124,3.1739061525413867
Alabama,0.4,1.2206651281527523,2.903081370985521
Alabama,0.6,0.9810652280628123,2.461658428973678
Alabama,0.6,1.429396085298434,2.98756801618254
Alaska,0.0,0.7357675051501175,0.9387582114955071
Alaska,0.0,0.7357675051501175,0.9387582114955071
Alaska,0.2,0.7326830712755156,0.9394770381531508
Alaska,0.2,0.7588014088484168,0.9218524138683094
Alaska,0.4,1.0874727236893926,1.4978026364455839
Alaska,0.4,1.0803248343017609,1.5204662168870047
Alaska,0.6,1.7781992975927363,4.1688787177280355
Alaska,0.6,0.8254160990213916,1.343095125286736
Arizona,0.0,0.7345343199274205,0.9027277940257254
Arizona,0.0,0.7345343199274205,0.9027277940257254
Arizona,0.2,0.7805116782690786,1.0218861683795748
Arizona,0.2,0.7607121786945454,0.9884378936698887
Arizona,0.4,0.7721500452721194,1.2187123954928825
Arizona,0.4,0.7896199384950912,0.9836829546936631
Arizona,0.6,1.0653266197424203,1.982205243786063
Arizona,0.6,0.7360483564521668,1.0661972852826078
Arkansas,0.0,0.8905614937583067,2.1879268145236526
Arkansas,0.0,0.8905614937583067,2.1879268145236526
Arkansas,0.2,0.8916525912127333,2.3473444658253126
Arkansas,0.2,0.9207611275526952,2.152001466020129
Arkansas,0.4,0.8465278481252984,1.8353741543899156
Arkansas,0.4,0.8835763718397291,2.2336813327117
Arkansas,0.6,0.9737778651386672,2.5859257799965
Arkansas,0.6,1.0316256641589423,2.7439504813434894
California,0.0,0.9744005633296168,2.5224782691276
California,0.0,0.9744005633296168,2.5224782691276
California,0.2,0.9738984415651137,2.567362653415263
California,0.2,1.015829403342025,2.927926297505805
California,0.4,1.0275771231554132,2.992354338546782
California,0.4,1.0040106305946213,2.898034823093273
California,0.6,0.977154612317476,2.7076107626010315
California,0.6,1.0571811802525901,3.158950649703296
Colorado,0.0,1.1761191854797846,3.3517481753301097
Colorado,0.0,1.1761191854797846,3.3517481753301097
Colorado,0.2,1.2911277161556374,3.649057463495519
Colorado,0.2,1.6876236203622255,4.598802532304405
Colorado,0.4,1.5371131282167556,4.489602737451121
Colorado,0.4,1.374647038639059,3.8965023265637027
Colorado,0.6,1.4471625360600924,4.236748675227637
Colorado,0.6,0.9718622837315494,2.113717109902644
Connecticut,0.0,0.9363800078972763,2.2959834411800593
Connecticut,0.0,0.9363800078972763,2.2959834411800593
Connecticut,0.2,0.9172032112153108,2.3197295058432155
Connecticut,0.2,0.9088115115109903,2.2152977444533546
Connecticut,0.4,0.9430520428292056,2.2066748991704395
Connecticut,0.4,0.9437602535807875,2.192570410224205
Connecticut,0.6,0.9661230508108977,2.657343627199409
Connecticut,0.6,0.9325834691846892,2.3346335477484033
Delaware,0.0,0.6633322954691808,0.8857088159336612
Delaware,0.0,0.6633322954691808,0.8857088159336612
Delaware,0.2,0.5697900388386052,0.8586918505839599
Delaware,0.2,0.6086672325545331,0.9070862057983465
Delaware,0.4,0.5086034452858328,0.9502497850567168
Delaware,0.4,0.7213374703025934,1.32493886106832
Delaware,0.6,0.5657773853832548,1.0557385912829038
Delaware,0.6,1.1100205858772803,2.0761219723016784
District of Columbia,0.0,1.7491821759895079,5.118001884563325
District of Columbia,0.0,1.7491821759895079,5.118001884563325
District of Columbia,0.2,1.8568274237998506,5.450240741636034
District of Columbia,0.2,1.826114514923816,5.328763164337212
District of Columbia,0.4,1.8660063377592369,5.575281207772268
District of Columbia,0.4,1.9308220285335058,5.687809450159959
District of Columbia,0.6,2.1533899647980514,6.481979679864289
District of Columbia,0.6,1.644786136264241,5.145032591239376
Florida,0.0,1.0347232352002753,2.471355150132717
Florida,0.0,1.0347232352002753,2.471355150132717
Florida,0.2,1.6175929312192883,4.508312969404393
Florida,0.2,1.1044660208582278,2.821872984487323
Florida,0.4,1.222728667122436,3.192484463928945
Florida,0.4,0.9665496764572489,2.1419791078576593
Florida,0.6,1.5682213027521235,4.093813404470117
Florida,0.6,1.0564469032321504,2.6565762603596137
Georgia,0.0,1.2010885715485362,2.647693736539868
Georgia,0.0,1.2010885715485362,2.647693736539868
Georgia,0.2,1.2327565100711353,2.6355026954404077
Georgia,0.2,1.131626639336068,2.738124670799046
Georgia,0.4,1.1318791328407938,2.3022561268317814
Georgia,0.4,1.3920294200157868,2.818123147564877
Georgia,0.6,1.4970270266745158,2.8910476926275597
Georgia,0.6,1.4304968320054756,4.29377102688098
Hawaii,0.0,0.5866146630198414,0.48048055140532153
Hawaii,0.0,0.5866146630198414,0.48048055140532153
Hawaii,0.2,0.7194870228123345,0.7221718665127315
Hawaii,0.2,0.5144208609252953,0.3846716754049179
Hawaii,0.4,0.6003803858572211,0.528964637883011
Hawaii,0.4,0.6216367062115383,0.5287292207252128
Hawaii,0.6,0.6351602975382936,0.6589369829045333
Hawaii,0.6,0.6211668397838009,0.5242211223222107
Idaho,0.0,1.6246255748380047,5.769313785510121
Idaho,0.0,1.6246255748380047,5.769313785510121
Idaho,0.2,1.5863551021960929,5.645770662984452
Idaho,0.2,1.618668776864877,5.6835906696588365
Idaho,0.4,1.7884303367983052,6.567636395098006
Idaho,0.4,1.5801972685239078,5.792998901313879
Idaho,0.6,1.583721425088537,5.885739578038257
Idaho,0.6,1.6550184529459173,6.05853765477253
Illinois,0.0,0.7354033010321471,1.5247992685100233
Illinois,0.0,0.7354033010321471,1.5247992685100233
Illinois,0.2,0.7646640712074424,1.6322153402836643
Illinois,0.2,0.7407871007762201,1.538783130821172
Illinois,0.4,0.7492951612783685,1.5244060553009071
Illinois,0.4,0.746817387688365,1.524052232560333
Illinois,0.6,0.7482953955233658,1.5937429593698451
Illinois,0.6,0.6824845558176654,1.2199099192055793
Indiana,0.0,0.946225970743786,2.908038092099462
Indiana,0.0,0.946225970743786,2.908038092099462
Indiana,0.2,1.1844186126285965,3.5362238785641273
Indiana,0.2,0.9339277486141455,2.880126346520716
Indiana,0.4,0.9043152177649486,2.331607114742794
Indiana,0.4,1.28941211033235,3.856811358472205
Indiana,0.6,1.3978946636458,4.139222188385053
Indiana,0.6,1.0127675446213225,2.1976520570142246
Iowa,0.0,0.7109699070205723,1.642816566743209
Iowa,0.0,0.7109699070205723,1.642816566743209
Iowa,0.2,0.8411834075255236,2.2893574628746944
Iowa,0.2,0.7949094950936637,1.8219964328653901
Iowa,0.4,0.993290076736954,1.6430258384128709
Iowa,0.4,0.7089972544222268,1.4612844908017355
Iowa,0.6,0.696495432531565,1.1295967752069735
