state,threshold,MAE
North Dakota,0.67,3.114176592
North Dakota,0.75,3.114176592
Ohio,0,1.578012665
Ohio,0.25,2.962819329
Ohio,0.33,1.801061663
Ohio,0.5,3.660278334
Ohio,0.67,7.240265837
Ohio,0.75,9.480991826
Oklahoma,0,1.038603571
Oklahoma,0.25,2.15738688
Oklahoma,0.33,2.15738688
Oklahoma,0.5,2.15738688
Oklahoma,0.67,1.027948857
Oklahoma,0.75,1.027948857
Oregon,0,1.845767389
Oregon,0.25,2.207898346
Oregon,0.33,2.176776777
Oregon,0.5,4.116725104
Oregon,0.67,4.116804966
Oregon,0.75,4.116807411
Pennsylvania,0,0.67912291
Pennsylvania,0.25,1.080093407
Pennsylvania,0.33,1.370732924
Pennsylvania,0.5,0.87515853
Pennsylvania,0.67,1.165515947
Pennsylvania,0.75,3.076114603
Puerto Rico,0,3.111816324
Puerto Rico,0.25,4.521899154
Puerto Rico,0.33,4.521899154
Puerto Rico,0.5,2.5458207
Puerto Rico,0.67,2.5458207
Puerto Rico,0.75,1.513193496
Rhode Island,0,1.087507693
Rhode Island,0.25,2.612156504
Rhode Island,0.33,1.240070368
Rhode Island,0.5,1.5714252
Rhode Island,0.67,2.893647671
Rhode Island,0.75,3.807673555
South Carolina,0,1.904872835
South Carolina,0.25,4.379171889
South Carolina,0.33,3.883124108
South Carolina,0.5,3.006509323
South Carolina,0.67,7.502319889
South Carolina,0.75,7.502319889
South Dakota,0,0.452390332
South Dakota,0.25,0.913836072
South Dakota,0.33,1.018144655
South Dakota,0.5,0.885889557
South Dakota,0.67,0.829307247
South Dakota,0.75,0.829307068
Tennessee,0,1.822880928
Tennessee,0.25,3.820887042
Tennessee,0.33,2.520625122
Tennessee,0.5,2.335311153
Tennessee,0.67,2.406469343
Tennessee,0.75,2.406468997
Texas,0,1.128692683
Texas,0.25,1.128692683
Texas,0.33,1.279089225
Texas,0.5,1.42869121
Texas,0.67,2.227074781
Texas,0.75,5.05907449
Utah,0,0.749741604
Utah,0.25,1.225979698
Utah,0.33,1.261573627
Utah,0.5,1.097779616
Utah,0.67,0.672242993
Utah,0.75,0.672242993
Vermont,0,1.223520587
Vermont,0.25,2.641893397
Vermont,0.33,0.869576923
Vermont,0.5,1.184298616
Vermont,0.67,1.184298618
Vermont,0.75,1.184298618
Virgin Islands,0,0.826296266
Virgin Islands,0.25,0.82171609
Virgin Islands,0.33,0.82171619
Virgin Islands,0.5,0.87847657
Virgin Islands,0.67,0.87847657
Virgin Islands,0.75,0.87847657
Virginia,0,1.10844937
Virginia,0.25,1.262186726
Virginia,0.33,1.247597328
Virginia,0.5,1.400322406
Virginia,0.67,2.198915812
Virginia,0.75,4.804682041
Washington,0,1.377378443
Washington,0.25,2.615894372
Washington,0.33,1.623176312
Washington,0.5,2.569978382
Washington,0.67,2.569978382
Washington,0.75,2.569978382
West Virginia,0,1.120069321
West Virginia,0.25,1.120068528
West Virginia,0.33,1.120068528
West Virginia,0.5,0.770207131
West Virginia,0.67,0.777023208
West Virginia,0.75,0.777051701
Wisconsin,0,0.616571313
Wisconsin,0.25,0.930981862
Wisconsin,0.33,0.956179633
Wisconsin,0.5,0.815941001
Wisconsin,0.67,1.436140002
Wisconsin,0.75,1.436140002
Wyoming,0,0.809361908
Wyoming,0.25,0.851325982
Wyoming,0.33,1.719192646
Wyoming,0.5,3.040859863
Wyoming,0.67,2.228622502
Wyoming,0.75,2.228622502
